Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
2.27,1.01,3.31,0.59,S
2.02,0.88,2.62,0.36,
1.66,0.83,2.3,0.29,
1.45,0.8,1.36,0.37,
1.42,0.8,1.86,0.41,
1.54,0.83,2.23,0.3,
1.48,0.82,1.4,0.38,
1.33,0.78,1.22,0.34,
1.22,0.77,1.17,0.27,
1.12,0.78,0.8,0.22,
0.82,0.59,0.57,0.09,
0.82,0.43,1.02,0.08,
1.14,0.51,1.5,0.1,P
1.14,0.58,0.98,0.07,P
0.95,0.57,0.45,0.09,
0.8,0.5,0.37,0.07,
0.68,0.46,0.27,0.04,
0.6,0.45,0.28,0.04,
0.55,0.45,0.27,0.04,
0.62,0.47,0.44,0.05,
0.76,0.47,0.5,0.05,
0.67,0.45,0.27,0.03,
0.54,0.41,0.22,0.03,
0.48,0.5,0.23,0.11,
0.51,0.93,0.17,0.51,
0.58,1.18,0.09,0.59,R
0.62,1.04,0.05,0.35,R
0.54,0.98,0.05,0.36,
0.35,0.91,0.05,0.33,
0.25,0.78,0.05,0.28,
0.21,0.75,0.05,0.27,
0.16,0.72,0.05,0.2,
0.14,0.72,0.05,0.22,
0.12,0.71,0.04,0.24,
0.12,0.71,0.03,0.23,
0.12,0.77,0.03,0.26,
0.15,0.76,0.19,0.33,
1.12,0.72,1.96,0.26,
2.11,0.87,3.59,0.4,
2.16,1.05,3.6,0.49,S
2.07,1.01,2.87,0.41,S
1.67,0.93,1.84,0.4,
1.33,0.9,1.73,0.45,
1.36,0.87,1.61,0.39,
1.24,0.78,1.05,0.24,
1.12,0.73,0.99,0.42,
1.21,0.79,1.17,0.36,
1.23,0.76,1.17,0.24,
1.01,0.65,0.81,0.27,
0.64,0.56,0.31,0.17,
0.64,0.97,0.52,0.66,
0.6,1.34,0.51,0.83,R
0.33,1.19,0.09,0.42,R
0.25,1.09,0.06,0.38,
0.22,1.05,0.05,0.34,
0.2,0.98,0.04,0.32,
0.16,0.86,0.04,0.28,
0.13,0.75,0.04,0.2,
0.13,0.73,0.04,0.2,
0.13,0.8,0.04,0.37,
0.2,0.83,0.15,0.39,
0.99,0.77,1.87,0.34,
2.2,0.95,4.05,0.5,S
2.32,1.15,3.28,0.53,S
1.87,1.14,2.74,0.54,
1.79,1.1,2.43,0.57,
1.51,0.99,1.33,0.57,
1.23,1,1.29,0.64,
1.18,1.04,1.14,0.65,
1.38,1.06,1.99,0.74,
1.8,1.05,3.27,0.71,
1.7,1.03,2.53,0.44,
1.37,0.97,1.49,0.32,
1.37,0.94,1.45,0.38,
1.07,0.69,0.9,0.22,
0.75,0.39,0.56,0.03,
0.89,0.43,0.72,0.08,
0.89,0.5,0.52,0.11,
0.86,0.52,0.36,0.09,
0.84,0.49,0.36,0.08,
0.65,0.46,0.27,0.06,
0.56,0.42,0.21,0.06,
0.57,0.39,0.22,0.07,
0.52,0.39,0.17,0.06,
0.48,0.35,0.3,0.03,
0.57,0.3,0.38,0.01,
0.52,0.34,0.25,0.08,
0.46,0.7,0.22,0.28,
0.57,1.07,0.14,0.45,R
0.76,1.09,0.07,0.33,R
0.83,0.92,0.06,0.21,
0.63,0.78,0.05,0.22,
0.43,0.8,0.07,0.28,
0.31,0.85,0.06,0.22,
0.23,0.81,0.04,0.12,
0.2,0.72,0.05,0.15,
0.18,0.7,0.04,0.26,
0.16,0.71,0.04,0.25,
0.14,0.66,0.06,0.16,
0.63,0.54,1.03,0.15,
1.75,0.71,2.87,0.22,
2.16,1.01,3.16,0.54,S
1.73,1.02,2.05,0.57,S
1.47,1.04,1.88,0.58,
1.38,1.07,1.8,0.68,
1.38,0.96,1.52,0.58,
1.38,0.88,1.23,0.42,
1.23,0.88,0.9,0.48,
1.16,0.88,1.18,0.59,
1.19,0.83,1.25,0.33,
1.17,0.79,0.9,0.24,
0.93,0.65,0.45,0.18,
0.73,0.43,0.7,0.05,
1.12,0.39,1.11,0.03,P
1.25,0.45,0.7,0.07,P
0.9,0.47,0.4,0.09,
0.81,0.44,0.65,0.08,
0.87,0.41,0.6,0.07,
0.69,0.41,0.25,0.08,
0.49,0.43,0.23,0.09,
0.47,0.45,0.26,0.06,
0.47,0.44,0.19,0.04,
0.46,0.4,0.13,0.05,
0.36,0.37,0.12,0.04,
0.32,0.64,0.08,0.28,
0.52,1.01,0.09,0.45,R
0.88,1.05,0.08,0.35,R
1.06,0.92,0.04,0.25,R
0.89,0.84,0.04,0.2,
0.6,0.76,0.04,0.22,
0.42,0.75,0.04,0.3,
0.29,0.79,0.04,0.28,
0.19,0.71,0.04,0.18,
0.15,0.64,0.03,0.15,
0.14,0.61,0.03,0.09,
0.12,0.59,0.03,0.09,
0.12,0.58,0.05,0.14,
1.21,0.61,2.37,0.2,
2.16,0.59,3.21,0.16,P
1.81,0.47,1.53,0.06,P
1.47,0.4,0.87,0.05,
1.23,0.38,0.51,0.04,
1.04,0.38,0.58,0.05,
0.92,0.39,0.52,0.05,
0.8,0.39,0.4,0.03,
0.65,0.36,0.3,0.03,
0.65,0.35,0.43,0.04,
0.74,0.34,0.54,0.04,
0.62,0.31,0.32,0.03,
0.41,0.48,0.13,0.11,
0.43,0.86,0.12,0.31,
0.79,1.06,0.11,0.49,
1.16,0.97,0.07,0.38,R
1.11,0.91,0.06,0.27,R
0.77,0.89,0.07,0.26,
0.53,0.77,0.07,0.18,
0.36,0.78,0.05,0.25,
0.25,0.8,0.05,0.24,
0.2,0.74,0.06,0.15,
0.17,0.71,0.05,0.18,
0.16,0.71,0.05,0.29,
0.17,0.73,0.28,0.25,
0.7,0.62,1.29,0.14,
1.44,0.49,1.72,0.11,P
1.57,0.46,0.99,0.08,P
1.37,0.43,0.59,0.06,
1.33,0.42,0.75,0.07,
1.25,0.42,0.62,0.06,
0.98,0.37,0.43,0.04,
0.9,0.36,0.55,0.05,
0.88,0.37,0.66,0.05,
0.77,0.37,0.63,0.06,
0.79,0.39,0.55,0.06,
0.67,0.41,0.43,0.05,
0.47,0.65,0.31,0.33,
0.96,1.09,1.22,0.74,
1.55,1.17,2.13,0.63,S
1.42,1,1.8,0.35,S
1.3,0.86,1.48,0.29,
1.38,0.77,1.6,0.28,
1.22,0.76,1.25,0.27,
0.99,0.76,0.79,0.21,
0.94,0.73,0.67,0.19,
0.95,0.73,0.61,0.27,
1,0.72,0.67,0.22,
0.93,0.64,0.61,0.12,
0.7,0.5,0.41,0.08,
1.11,0.41,1.37,0.04,
1.56,0.45,1.93,0.06,P
1.37,0.49,1.08,0.07,P
1.14,0.47,0.64,0.06,
0.95,0.43,0.59,0.06,
0.93,0.42,0.59,0.05,
0.86,0.43,0.46,0.05,
0.74,0.45,0.37,0.06,
0.71,0.45,0.44,0.06,
0.69,0.44,0.57,0.07,
0.68,0.42,0.5,0.05,
0.5,0.38,0.18,0.03,
0.53,0.7,0.5,0.4,
1.16,1.26,1.48,0.68,
1.72,1.18,2.43,0.45,S
1.86,0.84,2.46,0.27,S
1.77,0.73,2.22,0.2,
1.58,0.67,1.99,0.23,
1.47,0.66,1.65,0.22,
1.58,0.6,1.66,0.11,
1.51,0.55,1.26,0.1,
1.3,0.51,1.01,0.12,
1.15,0.51,1.09,0.13,
0.94,0.5,0.74,0.1,
0.64,0.43,0.28,0.03,
0.54,0.68,0.38,0.27,
0.52,1.08,0.36,0.49,R
0.32,1.04,0.06,0.37,R
0.3,0.83,0.06,0.3,
0.31,0.8,0.05,0.29,
0.25,0.83,0.06,0.36,
0.19,0.79,0.07,0.32,
0.16,0.71,0.04,0.22,
0.14,0.72,0.03,0.25,
0.14,0.77,0.04,0.28,
0.14,0.74,0.05,0.23,
